BJD_TDB,Source_AMag_T1,TOM,TOM_uncertainty
2460852.767737563,11.57462731599538,2460852.7722035693,0.00016712296982157525
2460852.770723599,11.571466877987197,,
2460852.7738253204,11.555895234918133,,
2460852.7767946464,11.559112096185784,,
2460852.779797344,11.556400248602325,,
2460852.7828298816,11.524958178638707,,
2460852.7859840877,11.537158813886828,,
2460852.7890103674,11.496473888215949,,
2460852.7920889077,11.47081739485877,,
2460852.7951670545,11.43024504197919,,
2460852.7981537883,11.403493090403282,,
2460852.8011623137,11.367171771125292,,
2460852.8043332393,11.346880724994936,,
2460852.8073190604,11.320947452397956,,
2460852.810398148,11.291303757842732,,

2460854.674041058,11.296872079101428,,
2460854.6765637477,11.316435040608413,,
2460854.6793650333,11.350176798616314,,
2460854.6822129115,11.384316398382127,,
2460854.685105743,11.42669787865155,,
2460854.6880220603,11.439612933941865,,
2460854.690938857,11.462676118417592,,
2460854.693854874,11.497766719812317,,
2460854.696749069,11.484452767542496,,
2460854.699664964,11.501297810622065,,
2460854.702558191,11.508191181702136,,
2460854.7053822926,11.524339016523063,2460854.70679805,0.00021355061516705186
2460854.708183315,11.503275384431674,,
2460854.711099881,11.498372069722295,,
2460854.7135996465,11.516087950828688,,
2460854.716516144,11.501548780193648,,
2460854.719410734,11.523701448855135,,
2460854.722304291,11.486053824099924,,
2460854.7252204814,11.442108942790831,,
2460854.72804491,11.421039761635786,,
2460854.730937014,11.37583383589856,,
2460854.7338305116,11.36301645154635,,
2460854.736654721,11.32067350117529,,

2460867.74861284,11.311311401651688,,
2460867.7515294245,11.325453884425924,,
2460867.7545388206,11.332244993260923,,
2460867.7575245267,11.379482013324052,,
2460867.7605106174,11.43987976303927,,
2460867.7634274364,11.459473479031786,,
2460867.7663670857,11.48340947855834,,
2460867.76937623,11.514024040916034,,
2460867.772293553,11.515697594640676,,
2460867.775209844,11.523527956168287,,
2460867.77812622,11.515192469844749,,
2460867.781112394,11.468107368203352,,
2460867.7840059004,11.522265599637672,,
2460867.7869228045,11.529105505940016,2460867.7821162594,0.0001964425867971584
2460867.789931414,11.515481398578851,,
2460867.7929413524,11.523060420902386,,
2460867.795949831,11.52295667297936,,
2460867.798935913,11.472188156410908,,
2460867.8019454503,11.446630409015343,,
2460867.8048853176,11.408953961582464,,
2460867.807778446,11.362495661393798,,
2460867.81076474,11.343665652410134,,
